"filename", "language", "XML", "Java", "Batch", "YAML", "Java Properties", "comment", "blank", "total"
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\dtos\MessageDTO.java", "Java", 0, 24, 0, 0, 0, 0, 8, 32
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\dtos\MessageRecipientDTO.java", "Java", 0, 16, 0, 0, 0, 0, 5, 21
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\dtos\NoteDTO.java", "Java", 0, 20, 0, 0, 0, 0, 7, 27
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\dtos\NotificationDTO.java", "Java", 0, 23, 0, 0, 0, 0, 9, 32
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\dtos\ProvinceDTO.java", "Java", 0, 14, 0, 0, 0, 0, 4, 18
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\dtos\QuizDTO.java", "Java", 0, 35, 0, 0, 0, 0, 13, 48
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\dtos\QuizUserDTO.java", "Java", 0, 18, 0, 0, 0, 0, 6, 24
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\dtos\RegisterDTO.java", "Java", 0, 13, 0, 0, 0, 0, 3, 16
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\dtos\ReviewDTO.java", "Java", 0, 38, 0, 0, 0, 0, 17, 55
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\dtos\ReviewUserDTO.java", "Java", 0, 18, 0, 0, 0, 0, 6, 24
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\dtos\RoleDTO.java", "Java", 0, 20, 0, 0, 0, 0, 7, 27
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\dtos\RoleMenuDTO.java", "Java", 0, 16, 0, 0, 0, 0, 5, 21
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\dtos\SchoolDTO.java", "Java", 0, 20, 0, 0, 0, 0, 7, 27
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\dtos\ShortDTO.java", "Java", 0, 30, 0, 0, 0, 0, 12, 42
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\dtos\UserCourseDTO.java", "Java", 0, 27, 0, 0, 0, 0, 11, 38
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\dtos\UserGroupDTO.java", "Java", 0, 16, 0, 0, 0, 0, 5, 21
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\dtos\UserInfoDTO.java", "Java", 0, 50, 0, 0, 0, 0, 22, 72
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\dtos\UserRoleDTO.java", "Java", 0, 16, 0, 0, 0, 0, 5, 21
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\dtos\base\BaseDTO.java", "Java", 0, 21, 0, 0, 0, 0, 8, 29
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\dtos\base\DefaultResponse.java", "Java", 0, 14, 0, 0, 0, 0, 4, 18
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\dtos\base\InputCondition.java", "Java", 0, 59, 0, 0, 0, 0, 27, 86
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\dtos\base\OutputError.java", "Java", 0, 18, 0, 0, 0, 0, 3, 21
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\dtos\base\ResponseDTO.java", "Java", 0, 27, 0, 0, 0, 0, 10, 37
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\exceptions\CustomException.java", "Java", 0, 19, 0, 0, 0, 0, 10, 29
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\exceptions\ExceptionTranslator.java", "Java", 0, 14, 0, 0, 0, 0, 5, 19
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\exceptions\GlobalExceptionHandlerController.java", "Java", 0, 99, 0, 0, 0, 1, 18, 118
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\repositories\BaseRepository.java", "Java", 0, 24, 0, 0, 0, 0, 22, 46
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\repositories\BaseRepositoryImpl.java", "Java", 0, 47, 0, 0, 0, 0, 19, 66
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\repositories\CourseRepository.java", "Java", 0, 567, 0, 0, 0, 4, 84, 655
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\repositories\DocumentRepository.java", "Java", 0, 226, 0, 0, 0, 0, 30, 256
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\repositories\ExerciseRepository.java", "Java", 0, 154, 0, 0, 0, 0, 38, 192
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\repositories\GroupRepository.java", "Java", 0, 261, 0, 0, 0, 0, 38, 299
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\repositories\LessonRepository.java", "Java", 0, 308, 0, 0, 0, 1, 46, 355
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\repositories\MessageRecipientRepository.java", "Java", 0, 112, 0, 0, 0, 0, 24, 136
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\repositories\MessageRepository.java", "Java", 0, 156, 0, 0, 0, 0, 24, 180
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\repositories\NoteRepository.java", "Java", 0, 179, 0, 0, 0, 0, 38, 217
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\repositories\NotificationRepository.java", "Java", 0, 151, 0, 0, 0, 0, 29, 180
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\repositories\OnThiRepository.java", "Java", 0, 19, 0, 0, 0, 0, 9, 28
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\repositories\ProvinceRepository.java", "Java", 0, 150, 0, 0, 0, 0, 38, 188
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\repositories\QuizRepository.java", "Java", 0, 136, 0, 0, 0, 0, 31, 167
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\repositories\QuizUserRepository.java", "Java", 0, 145, 0, 0, 0, 0, 30, 175
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\repositories\ReviewRepository.java", "Java", 0, 221, 0, 0, 0, 5, 43, 269
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\repositories\ReviewUserRepository.java", "Java", 0, 195, 0, 0, 0, 1, 37, 233
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\repositories\SchoolRepository.java", "Java", 0, 150, 0, 0, 0, 2, 35, 187
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\repositories\ShortRepository.java", "Java", 0, 228, 0, 0, 0, 0, 37, 265
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\repositories\UserCourseRepository.java", "Java", 0, 220, 0, 0, 0, 0, 45, 265
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\repositories\UserGroupRepository.java", "Java", 0, 111, 0, 0, 0, 0, 23, 134
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\repositories\UserRepository.java", "Java", 0, 355, 0, 0, 0, 1, 47, 403
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\repositories\UserRoleRepository.java", "Java", 0, 101, 0, 0, 0, 0, 25, 126
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\sercurity\CustomGrantedAuthority.java", "Java", 0, 15, 0, 0, 0, 0, 5, 20
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\sercurity\CustomPermissionEvaluator.java", "Java", 0, 33, 0, 0, 0, 0, 6, 39
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\sercurity\CustomUserDetailsService.java", "Java", 0, 49, 0, 0, 0, 2, 8, 59
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\sercurity\JWTAuthenticationFilter.java", "Java", 0, 49, 0, 0, 0, 0, 9, 58
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\sercurity\JwtAuthEntryPoint.java", "Java", 0, 16, 0, 0, 0, 0, 3, 19
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\sercurity\JwtTokenProvider.java", "Java", 0, 97, 0, 0, 0, 21, 21, 139
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\sercurity\SecurityConstants.java", "Java", 0, 4, 0, 0, 0, 0, 2, 6
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\services\AuthService.java", "Java", 0, 76, 0, 0, 0, 2, 12, 90
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\services\BaseService.java", "Java", 0, 60, 0, 0, 0, 4, 21, 85
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\services\ChatService.java", "Java", 0, 59, 0, 0, 0, 0, 10, 69
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\services\CloudService.java", "Java", 0, 31, 0, 0, 0, 12, 10, 53
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\services\CloudinaryService.java", "Java", 0, 41, 0, 0, 0, 0, 10, 51
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\services\CourseService.java", "Java", 0, 368, 0, 0, 0, 0, 41, 409
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\services\NotificationService.java", "Java", 0, 49, 0, 0, 0, 0, 9, 58
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\services\OnThiService.java", "Java", 0, 26, 0, 0, 0, 0, 9, 35
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\services\ShortsService.java", "Java", 0, 58, 0, 0, 0, 0, 11, 69
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\services\UserService.java", "Java", 0, 69, 0, 0, 0, 0, 11, 80
"d:\do-an-tot-nghiep\OnThiService\src\main\java\cfm\onthi\utils\DefineProperties.java", "Java", 0, 15, 0, 0, 0, 1, 3, 19
"d:\do-an-tot-nghiep\OnThiService\src\main\resources\application.yml", "YAML", 0, 0, 0, 56, 0, 5, 7, 68
"d:\do-an-tot-nghiep\OnThiService\src\test\java\cfm\onthi\OnThiServiceApplicationTests.java", "Java", 0, 9, 0, 0, 0, 0, 5, 14
"Total", "-", 282, 7056, 118, 56, 2, 147, 1597, 9258
